,,,,,,c1_b,c1_g,c2_b,c2_g,c3_b,c3_g,c4_b,c4_g,c5_b,c5_g,c6_b,c6_g,c7_b,c7_g,c8_b,c8_g,c9_b,c9_g,c10_b,c10_g,c11_b,c11_g,c12_b,c12_g,tch_m,tch_f,tch_t,tchpri,tchupr,tchregu,tchcont,tchpart,,,,,,,
599,C.R.C. NO. 17,24091501736,JAY-VIJAY VIDHYA MANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,15,19,16,11,25,17,14,12,14,4,10,16,13,4,2,10,0,0,0,0,0,0,0,0,2,4,6,3,3,5,0,0,,,,,,,
600,C.R.C. NO. 17,24091501737,KILLOL PRATHMIK SCHOOL,Pvt. Unaided                                                               ,Pr. with Up.Pr. sec. and H.Sec.                                            ,13,10,7,3,12,5,10,9,8,3,9,4,8,4,8,6,0,0,0,0,0,0,0,0,0,2,2,1,1,14,0,0,,,,,,,
601,C.R.C. NO. 7,24091501738,MARKAZ PUBLIC SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,0,0,0,0,0,0,0,0,0,21,0,21,0,8,0,6,0,0,0,11,0,0,0,10,0,10,0,4,6,0,0,,,,,,,
602,C.R.C. NO. 7,24091501801,SCHOOL NO. 13,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,19,17,16,19,19,15,20,27,17,26,28,29,29,22,21,25,0,0,0,0,0,0,0,0,5,6,11,7,4,2,0,0,,,,,,,
603,C.R.C. NO. 16,24091501802,SCHOOL NO. 14,Pvt. Unaided                                                               ,Pr. with Up.Pr. sec. and H.Sec.                                            ,16,13,13,16,11,15,15,11,12,9,17,10,11,15,9,13,0,0,0,0,0,0,0,0,0,8,8,5,3,10,0,0,,,,,,,
604,C.R.C. NO. 6,24091501803,SCHOOL NO. 53,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,17,13,24,32,10,13,12,7,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,5,0,9,2,0,,,,,,,
605,C.R.C. NO. 6,24091501804,SCHOOL NO. 67,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,52,65,60,58,68,69,60,78,67,86,96,108,80,63,84,45,0,0,0,0,0,0,0,0,9,21,30,18,12,8,0,0,,,,,,,
606,C.R.C. NO. 7,24091501805,SCHOOL NO. 72,Municipal School Board(MSB)                                                ,Primary                                                                    ,11,10,6,12,8,13,9,12,6,15,12,13,13,20,17,12,0,0,0,0,0,0,0,0,6,1,7,4,3,5,0,0,,,,,,,
607,C.R.C. NO. 6,24091501806,SCHOOL NO. 97,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,38,58,38,47,27,38,26,28,37,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,10,0,30,0,0,,,,,,,
608,C.R.C. NO. 18,24091501812,PRATHMIK SARADA MANDIR,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,5,5,9,1,6,4,3,6,6,3,10,4,9,10,9,8,0,0,0,0,0,0,0,0,1,5,6,3,3,7,0,0,,,,,,,
609,C.R.C. NO. 18,24091501814,KALARAV SCHOOLS,Municipal School Board(MSB)                                                ,Primary                                                                    ,15,12,8,7,10,14,10,6,11,11,17,9,11,6,10,6,10,6,11,4,8,2,7,0,3,5,8,5,3,10,0,0,,,,,,,
610,C.R.C. NO. 18,24091501815,JIVANDEEP VIDHYALAYA,Pvt. Aided                                                                 ,Primary with Upper Primary                                                 ,24,22,23,25,23,13,33,17,31,18,25,9,23,9,25,16,0,0,0,0,0,0,0,0,0,9,9,3,6,6,0,0,,,,,,,
611,C.R.C. NO. 18,24091501818,SADGURU VIDYALAY,Pvt. Unaided                                                               ,Pr. with Up.Pr. sec. and H.Sec.                                            ,21,10,12,9,11,10,16,14,15,8,22,11,12,15,14,5,0,0,0,0,0,0,0,0,1,8,9,5,4,8,0,0,,,,,,,
612,C.R.C. NO. 18,24091501821,GNANODAY SAIKSHANIK SANKUL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,30,28,26,19,33,19,25,19,17,20,20,19,17,12,16,13,0,0,0,0,0,0,0,0,2,6,8,4,4,5,4,0,,,,,,,
613,C.R.C. NO. 18,24091501822,GNANODAY VIDHYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,21,25,25,17,28,24,19,21,16,23,17,17,15,15,13,15,0,0,0,0,0,0,0,0,2,6,8,4,4,9,0,0,,,,,,,
614,C.R.C. NO. 18,24091501823,RAJ MANDIR VIDHYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,18,0,17,2,10,3,15,4,16,9,10,10,14,16,15,9,0,0,0,0,0,0,0,0,2,6,8,5,3,8,0,0,,,,,,,
615,C.R.C. NO. 18,24091501824,RAJ MANDIR COM. VIDHYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,19,1,13,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,4,0,4,,,,,,,
616,C.R.C. NO. 18,24091501825,PRIYA DARSHINI SECONDARY SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,44,0,0,0,0,0,3,0,3,0,0,0,8,0,,,,,,,
617,C.R.C. NO. 18,24091501826,JAY RANDAL VIDHYALAYA,Pvt. Unaided                                                               ,Primary                                                                    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,25,15,0,0,0,0,3,0,3,0,0,0,4,0,,,,,,,
618,C.R.C. NO. 18,24091501827,PATANJALI VIDHYALAYA,Pvt. Aided                                                                 ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,47,81,48,0,0,0,0,1,3,4,0,0,3,0,0,,,,,,,
619,C.R.C. NO. 18,24091501828,PATANJALI PATHSHALA,Pvt. Aided                                                                 ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,43,27,15,2,2,4,0,0,3,0,0,,,,,,,
620,C.R.C. NO. 18,24091501829,SHRI V L HIGH SCHOOL,Pvt. Unaided                                                               ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,18,9,11,4,0,0,2,4,6,0,0,0,4,0,,,,,,,
621,C.R.C. NO. 18,24091501830,SHRI K R HIGH SCHOOL,Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,15,21,10,0,0,0,0,2,1,3,0,0,0,4,0,,,,,,,
622,C.R.C. NO. 18,24091501831,PANINI SCIENCE SCHOOL,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,15,16,15,4,0,4,0,0,6,0,0,,,,,,,
623,C.R.C. NO. 18,24091501833,GOKUL VIDHYALAY,Pvt. Unaided                                                               ,Secondary Only                                                             ,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,3,0,,,,,,,
624,C.R.C. NO. 18,24091501834,J.V. VIDHYALAYA,Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,12,20,8,7,5,4,0,1,5,6,0,0,0,4,0,,,,,,,
625,C.R.C. NO. 17,24091501901,SCHOOL NO.78,Pvt. Unaided                                                               ,Primary                                                                    ,47,62,55,71,51,67,68,71,75,85,63,87,64,81,84,83,0,0,0,0,0,0,0,0,12,17,29,16,13,2,0,0,,,,,,,
626,C.R.C. NO. 17,24091501902,SCHOOL NO.96,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,48,48,53,56,49,63,47,46,56,42,57,45,38,47,39,34,0,0,0,0,0,0,0,0,4,14,18,11,7,6,0,0,,,,,,,
627,C.R.C. NO. 17,24091501903,SCHOOL NO.66,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,71,59,42,80,69,66,54,87,59,106,63,69,72,68,67,57,0,0,0,0,0,0,0,0,5,22,27,19,8,29,0,0,,,,,,,
628,C.R.C. NO. 19,24091501911,KANTA SHRIVIKAS PRI SCHOOL,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,0,132,0,148,0,162,0,167,0,201,0,204,0,259,0,262,0,0,0,0,0,0,0,0,0,25,25,16,9,18,0,0,,,,,,,
629,C.R.C. NO. 19,24091501914,SHRI C.K.G.PRIMARY SCHOOL,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,3,118,1,131,1,134,4,134,0,135,0,133,0,145,0,232,0,0,0,0,0,0,0,0,1,23,24,14,10,27,0,0,,,,,,,
630,C.R.C. NO. 19,24091501918,AADARSH BALNIKETAN PRIMARY SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,25,14,21,20,31,10,27,12,24,8,28,6,18,4,0,0,0,0,0,0,0,0,0,0,5,2,7,3,4,25,0,0,,,,,,,
631,C.R.C. NO. 19,24091501919,SHREE SARDA LAXMI VIDHYAMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,13,9,12,8,10,9,20,12,15,8,18,12,13,12,17,9,0,0,0,0,0,0,0,0,1,5,6,4,2,24,0,0,,,,,,,
632,C.R.C. NO. 19,24091501920,SADBHAVNA PRI. SCHOOL,Pvt. Aided                                                                 ,Primary with Upper Primary                                                 ,4,2,4,2,7,0,5,1,4,0,6,0,4,2,7,1,0,0,0,0,0,0,0,0,1,1,2,2,0,7,0,0,,,,,,,
633,C.R.C. NO. 19,24091501922,KASTURBA VIDHIYALAY PRI. VIBHAG,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,10,10,2,13,14,11,16,12,16,5,10,19,3,10,13,39,0,0,0,0,0,0,0,0,2,2,4,2,2,6,0,0,,,,,,,
634,C.R.C. NO. 19,24091501923,SAGAR PRI. SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,3,3,9,5,4,3,7,1,5,3,5,3,15,4,17,6,19,7,17,5,0,0,0,0,2,7,9,4,4,2,0,0,,,,,,,
635,C.R.C. NO. 19,24091501924,SHREE SHUBHAM VIDHYALAYA,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,181,86,169,81,160,101,140,83,135,87,127,92,140,76,154,63,0,0,0,0,0,0,0,0,3,11,14,7,7,4,0,0,,,,,,,
636,C.R.C. NO. 19,24091501927,OM VIDHYALAY PRY. SCHOOL,Pvt. Unaided                                                               ,Pr. Up Pr. and Secondary Only                                              ,23,15,24,16,32,26,30,28,30,18,32,16,41,5,46,10,0,0,0,0,0,0,0,0,2,2,4,2,2,9,0,0,,,,,,,
637,C.R.C. NO. 19,24091501929,SHRI MAA SHARDA VIDHYALAYA,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,16,45,9,0,0,0,0,3,2,5,0,0,0,14,0,,,,,,,
638,C.R.C. NO. 19,24091501930,SHRI KASTURBA HIGH SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,157,0,118,0,97,5,9,14,0,0,4,0,0,,,,,,,
639,C.R.C. NO. 19,24091501931,VIR SAVARKAR VIDHYALAYA,Pvt. Aided                                                                 ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,42,0,0,0,0,0,3,1,4,0,0,5,0,0,,,,,,,
640,C.R.C. NO. 19,24091501932,SHRI KADVIBAI VIRANI KANYA VIDYALAY,Pvt. Aided                                                                 ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,0,351,0,359,0,333,10,20,30,0,0,14,0,0,,,,,,,
641,C.R.C. NO. 23,24091501934,SHRI VIKAS VIDHYALAYA (H. S.),Local body                                                                 ,Upper Pr. and Secondary                                                    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,2,0,0,0,0,3,2,5,0,0,4,0,0,,,,,,,
642,C.R.C. NO. 19,24091501935,SHRI VALLABH KANYA VIDHYALAYA (H S),Pvt. Aided                                                                 ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,89,3,3,6,0,0,30,0,0,,,,,,,
643,C.R.C. NO. 19,24091501937,SHRI SAGAR MADHYAMIK SHALA,Pvt. Unaided                                                               ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,17,5,0,0,0,0,2,2,4,0,0,0,5,0,,,,,,,
644,C.R.C. NO. 19,24091501938,SHRI SWAMINARAYAN GURUKUL VIDYALAY,Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,24,0,31,0,33,0,32,0,48,0,65,0,66,0,231,0,0,0,0,0,0,0,0,0,12,0,12,5,7,0,6,0,,,,,,,
645,C.R.C. NO. 19,24091501939,SHUBHAM HIGH SCHOOL,Pvt. Unaided                                                               ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,89,139,61,0,0,0,0,4,1,5,0,0,4,0,0,,,,,,,
646,C.R.C. NO. 19,24091501940,SHUBHAM UCHCHTAR MADHYAMIK SHALA,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,90,134,88,6,3,9,0,0,12,0,0,,,,,,,
647,C.R.C. NO. 19,24091501941,OM VIDHYALAY MADHYAMIK SHALA,Pvt. Unaided                                                               ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,31,86,41,48,0,20,0,3,0,3,0,0,0,5,0,,,,,,,
648,C.R.C. NO. 19,24091501942,DISCOVER PUBLIC SCHOOL,Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,44,35,38,2,0,2,0,0,0,9,0,,,,,,,
649,C.R.C. NO. 19,24091501943,SUNFLOWER HIGH SCHOOL,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,68,41,74,54,67,41,54,43,67,42,60,38,50,33,44,44,51,30,36,27,0,0,0,0,4,35,39,0,0,0,3,0,,,,,,,
650,C.R.C. NO. 19,24091501944,SHRI NYALKARAN VIDHYAMANDIR,Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,19,6,0,0,0,0,1,2,3,0,0,2,0,0,,,,,,,
651,C.R.C. NO. 19,24091501945,SHREE ANJALI VIDHAYALAYA,Pvt. Unaided                                                               ,Pr. Up Pr. and Secondary Only                                              ,10,5,12,6,15,6,23,11,23,6,10,8,16,10,21,3,0,0,0,0,0,0,0,0,3,6,9,5,4,39,0,0,,,,,,,
652,C.R.C. NO. 19,24091501946,SHREE KANTA STRI VIKAS FOUND.PR.SCHOOL,Pvt. Unaided                                                               ,Secondary Only                                                             ,0,35,0,44,0,42,0,46,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,3,0,0,,,,,,,
653,C.R.C. NO. 19,24091501947,SHREE KANTA STRI VIKAS GRUH GIRL'S HIGH HIGHSCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,243,0,147,0,101,0,13,13,0,0,0,9,0,,,,,,,
654,C.R.C. NO. 19,24091501948,MAATU SHREE M.M.PATELKANYA VIDHYALAYA(SECONDARY),Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,30,13,24,0,0,0,0,1,2,3,0,0,5,0,0,,,,,,,
655,C.R.C. NO. 19,24091501949,MATRUMANDIR PRI.SCHOOL,Pvt. Aided                                                                 ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,6,3,8,5,4,3,1,1,0,0,0,0,0,0,0,0,6,1,7,3,4,13,0,0,,,,,,,
656,C.R.C. NO. 19,24091501950,SHREE HARI SCHOOL,Pvt. Aided                                                                 ,Secondary Only                                                             ,20,16,8,4,11,6,10,6,10,8,4,3,9,2,4,1,0,0,0,0,0,0,0,0,6,7,13,7,6,3,0,0,,,,,,,
657,C.R.C. NO. 19,24091501952,SHREE V.D. PAREKH  ANDH MAHILA VIKASGRUH,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,5,0,3,0,6,0,4,0,3,0,9,0,2,0,4,0,0,0,0,0,0,0,0,1,7,8,4,4,0,3,4,,,,,,,
658,C.R.C. NO. 19,24091501953,SHRI SWAMINARAYAN GURUKUL VIDYALAYA,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,311,0,0,0,0,0,15,0,15,0,0,13,0,0,,,,,,,
